"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI1772726",251212,"05.06.97","2"
"SI1773091",251486,"05.06.91","2"
"SI1730042",251517,"27.03.98","1"
"SI1773060",251523,"05.03.97","2"
"SI72315705",1261930,"27.08.01","1"
"SI1051550",252416,"03.12.89","2"
"SI326RC",868962,"01.01.50","2"
"SI1518483",869030,"30.06.90","2"
"SI1801561",869031,"04.09.97","2"
"SI1756577",253713,"15.08.96","2"
"SI1773003",253723,"05.04.97","2"
"SI1726693",254413,"01.03.98","1"
"SI1726694",254414,"20.03.98","1"
"SI1726695",254415,"20.12.97","1"
"SI1756584",254422,"15.11.96","2"
"SI1756561",254435,"15.02.98","2"
"SI1773058",254456,"05.08.89","2"
"SI1773059",254457,"10.06.93","2"
"SI1772703",254495,"15.08.97","2"
"SI1772721",254503,"05.06.97","2"
"SI1772727",254506,"15.06.97","2"
"SI1772728",254507,"15.04.97","1"
"SI1772729",254508,"20.04.98","2"
"SI1772770",254525,"05.11.97","1"
"SI1772771",254526,"05.05.96","1"
"SI1773402",254689,"01.09.83","2"
"SI1773230",254747,"20.07.91","2"
"SI82319337",1222486,"15.06.00","2"
"SI1605579",218198,"24.08.96","1"
"SI92343461",1267705,"05.08.01","2"
"SI42343459",1267711,"01.11.01","1"
"SI52343458",1267716,"31.08.01","2"
"SI1540396",257795,"24.11.94","2"
"SI92306509",1223876,"14.07.01","2"
"SI12320657",1224158,"10.08.01","1"
"SI32265099",1224313,"12.04.01","1"
"SI42302562",1224781,"19.09.01","2"
"SI22301673",1225222,"02.06.01","2"
"SI1242024",259305,"04.07.90","2"
"SI12346321",1226633,"05.08.01","2"
"SI72300684",1227172,"02.07.01","2"
"SI42320719",1227388,"10.09.01","1"
"SI32388004",1271402,"27.10.01","2"
"SI52388002",1271406,"17.09.01","2"
"SI22346337",1228023,"29.09.01","1"
"SI1540172",263453,"05.02.94","2"
"SI32318245",1274319,"24.11.01","1"
"SI62303695",1275458,"30.06.01","1"
"SI02315719",1233353,"10.07.99","2"
"SI42262985",1233361,"15.03.01","1"
"SI82287939",1276108,"15.12.01","1"
"SI1731336",225758,"30.09.97","2"
"SI1884924",1234094,"30.04.97","2"
"SI1884925",1234095,"30.03.97","2"
