"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI95158903",5220939,20.01.19,"2"
"SI34587278",4209180,19.03.15,"2"
"SI74587281",4267975,03.05.15,"2"
"SI04783130",4706495,06.01.17,"2"
"SI05071085",5025850,07.04.18,"1"
"SI35137326",5300695,02.04.19,"2"
"SI25180112",5300735,02.04.19,"2"
"SI35164382",5300861,02.04.19,"2"
"CZ499175931",3747157,01.12.12,"2"
"SI84671749",4752487,24.04.17,"1"
"SI64981868",5015475,26.03.18,"1"
"SI84981859",5022725,24.04.18,"1"
"SI74981874",5015556,15.03.18,"1"
"SI54981876",5015573,14.03.18,"1"
"SI34981878",5015574,13.03.18,"1"
"SI24782993",5301320,03.04.19,"2"
"SI05137329",5301349,03.04.19,"2"
"SI23985344",3440676,06.03.12,"2"
"SI25218932",5013687,09.03.18,"1"
"SI95163622",5301653,04.04.19,"2"
"SI25181261",5301705,04.04.19,"1"
"SI55171221",5301738,04.04.19,"2"
"SI65137330",5301766,04.04.19,"2"
"SI35194657",5302091,21.05.19,"1"
"SI65167777",5302309,17.05.19,"2"
"SI05207219",5302325,28.05.19,"1"
"SI65163625",5302531,05.04.19,"2"
"SK812511253",4316662,11.02.15,"2"
"SI55163626",5302533,06.04.19,"2"
"SK812262780",4316653,22.01.15,"2"
"SI45163627",5302536,07.04.19,"2"
"SK812511255",4316663,11.02.15,"2"
"SI35163628",5302539,07.04.19,"2"
"SI25163629",5302541,07.04.19,"2"
"SI45112690",5302544,10.04.19,"2"
"SI65112681",5302545,10.04.19,"2"
"SI05163597",5302546,05.04.19,"1"
"SI55163592",5302547,06.04.19,"1"
"SI35163594",5302548,06.04.19,"1"
"SI25163595",5302552,08.04.19,"1"
"SK812511136",4365415,22.02.15,"2"
"SI95217611",5302556,17.05.19,"2"
"CZ312141971",4662287,21.03.16,"2"
"SI35217617",5302567,14.05.19,"1"
"SI45217616",5302575,12.05.19,"2"
"SI65217614",5302578,29.05.19,"1"
"SI15203939",5302585,22.05.19,"2"
"SI05117503",5100752,08.08.18,"2"
"SI64961671",4805642,23.04.17,"1"
"SI63786983",3140900,09.12.10,"2"
"SI84042758",3530385,02.07.12,"2"
"SI54472787",4070631,29.08.14,"2"
"SI94228261",3816907,31.08.13,"2"
"SI74042766",3554096,12.08.12,"2"
"SI23128880",2338576,10.04.07,"1"
"SI04458223",3993477,08.04.14,"2"
"SI45183395",5302590,01.06.19,"1"
"SI45275993",5302614,05.04.19,"2"
"SI14782994",5302622,05.04.19,"1"
"SI15181262",5302684,05.04.19,"1"
"SI75163624",5302858,05.04.19,"2"
"SI84950370",4758158,24.04.17,"1"
"SI44981877",5015570,14.03.18,"1"
"SI54950366",4757940,09.04.17,"2"
"SI23629006",2710716,08.03.09,"2"
"SI05214301",5303284,22.05.19,"1"
"SI44945387",4838059,01.08.17,"1"
"AT321527329",4543032,01.11.15,"2"
"SI44909938",5164004,22.09.18,"2"
"SI55053417",5001941,22.03.18,"1"
"SI64451505",4223819,04.03.15,"2"
"SI35131423",5303479,06.04.19,"2"
"SI05181263",5303572,06.04.19,"1"
"SI95124737",5304280,07.04.19,"2"
"SI54895164",5304468,07.04.19,"2"
"SI04813866",4517962,14.06.16,"2"
"SI35181631",5304685,25.05.19,"1"
"SI55183521",5304715,01.06.19,"2"
"SI25208311",5304767,25.05.19,"2"
